CODPROF,SCORE-01,SCORE-02,SCORE-03,SCORE-04,SCORE-05,SCORE-06,SCORE-07,SCORE-08,SCORE-09,SCORE-10,SCORE-11,SCORE-12,SCORE-13,SCORE-14
3,4.2611940298507465,4.097014925373134,3.9402985074626864,3.91044776119403,4.014925373134329,4.149253731343284,3.970149253731343,4.067164179104478,4.0,3.8358208955223883,4.149253731343284,3.955223880597015,4.074626865671642,4.104477611940299
4,4.290322580645161,4.596774193548387,4.532258064516129,4.596774193548387,4.67741935483871,4.629032258064516,4.564516129032258,4.564516129032258,4.548387096774194,4.516129032258065,4.629032258064516,4.629032258064516,4.596774193548387,4.580645161290323
5,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.6875
17,4.135593220338983,4.245762711864407,4.389830508474576,4.330508474576271,4.389830508474576,4.279661016949152,4.305084745762712,4.279661016949152,4.177966101694915,4.271186440677966,4.245762711864407,4.313559322033898,4.271186440677966,4.3559322033898304
22,4.236641221374046,4.419847328244275,4.061068702290076,4.190839694656488,4.244274809160306,4.358778625954199,4.183206106870229,4.129770992366412,4.175572519083969,4.015267175572519,4.305343511450381,4.1679389312977095,4.137404580152672,4.213740458015267
25,4.830188679245283,4.811320754716981,4.943396226415095,4.886792452830188,4.943396226415095,4.830188679245283,4.9245283018867925,4.830188679245283,4.7924528301886795,4.867924528301887,4.849056603773585,4.90566037735849,4.886792452830188,4.849056603773585
27,4.858974358974359,4.8076923076923075,4.769230769230769,4.602564102564102,4.833333333333333,4.769230769230769,4.628205128205129,4.666666666666667,4.602564102564102,4.769230769230769,4.448717948717949,4.730769230769231,4.756410256410256,4.615384615384615
30,4.642857142857143,4.607142857142857,4.428571428571429,4.464285714285714,4.535714285714286,4.571428571428571,4.392857142857143,4.464285714285714,4.5,4.464285714285714,4.535714285714286,4.392857142857143,4.571428571428571,4.535714285714286
45,4.686868686868687,4.626262626262626,4.666666666666667,4.636363636363637,4.636363636363637,4.636363636363637,4.656565656565657,4.686868686868687,4.636363636363637,4.6767676767676765,4.575757575757576,4.646464646464646,4.525252525252525,4.606060606060606
48,4.615384615384615,4.423076923076923,4.576923076923077,4.5,4.346153846153846,4.538461538461538,4.538461538461538,4.576923076923077,4.461538461538462,4.5,4.423076923076923,4.5,4.461538461538462,4.423076923076923
57,4.666666666666667,4.619047619047619,4.619047619047619,4.619047619047619,4.619047619047619,4.619047619047619,4.666666666666667,4.619047619047619,4.619047619047619,4.666666666666667,4.714285714285714,4.714285714285714,4.714285714285714,4.666666666666667
60,4.761904761904762,4.619047619047619,4.666666666666667,4.571428571428571,4.571428571428571,4.714285714285714,4.761904761904762,4.476190476190476,4.666666666666667,4.523809523809524,4.714285714285714,4.714285714285714,4.666666666666667,4.761904761904762
62,4.411764705882353,4.470588235294118,4.529411764705882,4.470588235294118,4.352941176470588,4.352941176470588,4.470588235294118,4.470588235294118,4.411764705882353,4.352941176470588,4.294117647058823,4.470588235294118,4.0,4.117647058823529
66,4.454545454545454,4.318181818181818,3.409090909090909,3.727272727272727,4.0,4.136363636363637,3.409090909090909,3.909090909090909,3.772727272727273,3.3181818181818183,4.318181818181818,3.5,3.9545454545454546,4.136363636363637
69,4.666666666666667,4.666666666666667,4.166666666666667,4.416666666666667,4.333333333333333,4.333333333333333,4.083333333333333,4.416666666666667,4.416666666666667,4.333333333333333,4.333333333333333,4.25,4.5,4.5
72,4.611111111111111,4.611111111111111,4.611111111111111,4.611111111111111,4.611111111111111,4.611111111111111,4.611111111111111,4.555555555555555,4.555555555555555,4.555555555555555,4.555555555555555,4.555555555555555,4.555555555555555,4.555555555555555
87,4.609756097560975,4.634146341463414,4.658536585365853,4.658536585365853,4.560975609756097,4.658536585365853,4.682926829268292,4.634146341463414,4.512195121951219,4.585365853658536,4.7073170731707314,4.658536585365853,4.7317073170731705,4.682926829268292
137,4.4411764705882355,4.5588235294117645,4.5588235294117645,4.617647058823529,4.529411764705882,4.647058823529412,4.647058823529412,4.617647058823529,4.5588235294117645,4.588235294117647,4.705882352941177,4.676470588235294,4.647058823529412,4.617647058823529
174,4.5,4.533333333333333,4.566666666666666,4.633333333333334,4.6,4.566666666666666,4.6,4.533333333333333,4.6,4.5,4.6,4.533333333333333,4.566666666666666,4.633333333333334
183,4.64,4.4,4.52,4.64,4.52,4.48,4.52,4.56,4.44,4.6,4.56,4.6,4.52,4.48
198,4.777777777777778,4.777777777777778,4.777777777777778,4.777777777777778,4.777777777777778,4.777777777777778,4.777777777777778,4.777777777777778,4.777777777777778,4.777777777777778,4.777777777777778,4.777777777777778,4.777777777777778,4.777777777777778
199,4.625,4.5,4.375,4.5,4.0,4.5,4.25,4.5,4.5,4.25,4.625,4.5,4.5,4.5
200,4.769230769230769,4.743589743589744,4.769230769230769,4.717948717948718,4.487179487179487,4.717948717948718,4.589743589743589,4.717948717948718,4.666666666666667,4.769230769230769,4.564102564102564,4.717948717948718,4.717948717948718,4.717948717948718
205,4.785714285714286,4.714285714285714,4.714285714285714,4.714285714285714,4.714285714285714,4.714285714285714,4.714285714285714,4.642857142857143,4.714285714285714,4.785714285714286,4.642857142857143,4.714285714285714,4.714285714285714,4.714285714285714
208,4.448275862068965,4.103448275862069,4.448275862068965,4.206896551724138,4.482758620689655,4.241379310344827,4.551724137931035,4.275862068965517,4.310344827586207,4.344827586206897,4.344827586206897,4.448275862068965,4.103448275862069,4.137931034482759
213,4.2407407407407405,4.314814814814815,4.2407407407407405,4.203703703703703,4.407407407407407,4.277777777777778,4.203703703703703,4.314814814814815,4.2592592592592595,4.166666666666667,4.185185185185185,4.314814814814815,4.407407407407407,4.2592592592592595
217,4.6875,4.625,4.4375,4.4375,4.625,4.5625,4.5,4.625,4.625,4.5625,4.4375,4.5625,4.375,4.3125
219,4.578947368421052,4.5,4.657894736842105,4.631578947368421,4.657894736842105,4.7105263157894735,4.552631578947368,4.578947368421052,4.631578947368421,4.605263157894737,4.657894736842105,4.578947368421052,4.552631578947368,4.684210526315789
222,4.571428571428571,4.5064935064935066,4.532467532467533,4.558441558441558,4.571428571428571,4.545454545454546,4.48051948051948,4.428571428571429,4.454545454545454,4.5064935064935066,4.428571428571429,4.597402597402597,4.545454545454546,4.4935064935064934
248,3.909090909090909,4.2727272727272725,4.2727272727272725,4.242424242424242,4.303030303030303,4.333333333333333,4.090909090909091,4.181818181818182,4.121212121212121,4.242424242424242,4.242424242424242,4.303030303030303,4.333333333333333,4.363636363636363
261,4.0125,4.025,3.8,3.575,3.65,3.8875,3.7125,3.7375,3.7875,3.5875,3.8125,3.65,3.775,3.75
265,4.32,4.32,4.48,4.44,4.28,4.24,4.4,4.24,4.4,4.36,4.44,4.32,4.4,4.44
274,4.698412698412699,4.555555555555555,4.603174603174603,4.634920634920635,4.523809523809524,4.555555555555555,4.587301587301587,4.603174603174603,4.492063492063492,4.603174603174603,4.587301587301587,4.5396825396825395,4.476190476190476,4.5396825396825395
287,4.529411764705882,4.514705882352941,4.485294117647059,4.4411764705882355,4.529411764705882,4.4411764705882355,4.411764705882353,4.470588235294118,4.411764705882353,4.426470588235294,4.382352941176471,4.470588235294118,4.411764705882353,4.411764705882353
291,4.757142857142857,4.771428571428571,4.8,4.714285714285714,4.728571428571429,4.742857142857143,4.6571428571428575,4.7,4.714285714285714,4.771428571428571,4.685714285714286,4.728571428571429,4.742857142857143,4.728571428571429
301,4.8125,4.75,4.8125,4.5625,4.8125,4.6875,4.6875,4.75,4.5625,4.6875,4.625,4.6875,4.8125,4.625
357,4.428571428571429,4.404761904761905,4.404761904761905,4.285714285714286,4.380952380952381,4.333333333333333,4.357142857142857,4.309523809523809,4.357142857142857,4.285714285714286,4.119047619047619,4.261904761904762,4.404761904761905,4.333333333333333
359,3.4767441860465116,3.6744186046511627,3.8255813953488373,4.011627906976744,4.209302325581396,4.034883720930233,3.988372093023256,3.9069767441860463,4.011627906976744,3.872093023255814,4.162790697674419,3.988372093023256,3.9767441860465116,4.023255813953488
381,4.75,4.8125,4.75,4.8125,4.8125,4.8125,4.5625,4.75,4.6875,4.6875,4.4375,4.75,4.6875,4.6875
393,4.368421052631579,4.131578947368421,4.157894736842105,4.0,4.078947368421052,4.078947368421052,4.105263157894737,4.026315789473684,4.078947368421052,4.078947368421052,4.2368421052631575,4.026315789473684,4.131578947368421,4.2105263157894735
420,4.545454545454546,4.545454545454546,4.545454545454546,4.545454545454546,4.545454545454546,4.545454545454546,4.545454545454546,4.545454545454546,4.454545454545454,4.545454545454546,4.454545454545454,4.545454545454546,4.545454545454546,4.545454545454546
421,4.588235294117647,4.705882352941177,4.764705882352941,4.705882352941177,4.764705882352941,4.764705882352941,4.764705882352941,4.823529411764706,4.764705882352941,4.764705882352941,4.705882352941177,4.705882352941177,4.647058823529412,4.705882352941177
463,4.830508474576271,4.864406779661017,4.830508474576271,4.864406779661017,4.864406779661017,4.8474576271186445,4.762711864406779,4.830508474576271,4.813559322033898,4.830508474576271,4.796610169491525,4.8474576271186445,4.864406779661017,4.762711864406779
464,4.4,4.4,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.4,4.6,4.6,4.6,4.6
477,4.093023255813954,4.077519379844961,3.806201550387597,3.945736434108527,3.992248062015504,4.10077519379845,3.9689922480620154,3.9612403100775193,3.945736434108527,3.8449612403100777,4.124031007751938,3.8372093023255816,3.9767441860465116,4.077519379844961
482,4.666666666666667,4.777777777777778,4.722222222222222,4.666666666666667,4.777777777777778,4.555555555555555,4.722222222222222,4.555555555555555,4.611111111111111,4.611111111111111,4.666666666666667,4.722222222222222,4.555555555555555,4.444444444444445
487,4.846153846153846,4.769230769230769,4.6923076923076925,4.538461538461538,4.615384615384615,4.615384615384615,4.538461538461538,4.6923076923076925,4.6923076923076925,4.6923076923076925,4.6923076923076925,4.6923076923076925,4.6923076923076925,4.6923076923076925
491,4.523809523809524,4.238095238095238,3.8095238095238093,4.333333333333333,4.095238095238095,4.238095238095238,4.285714285714286,4.190476190476191,4.238095238095238,3.9523809523809526,4.238095238095238,4.190476190476191,4.285714285714286,4.285714285714286
495,4.104477611940299,3.8507462686567164,3.417910447761194,3.5970149253731343,3.5671641791044775,3.5671641791044775,3.462686567164179,3.5522388059701493,3.4925373134328357,3.4029850746268657,3.6417910447761193,3.5671641791044775,3.656716417910448,3.611940298507463
496,4.842105263157895,4.842105263157895,4.526315789473684,4.578947368421052,4.473684210526316,4.7894736842105265,4.473684210526316,4.421052631578948,4.684210526315789,4.526315789473684,4.578947368421052,4.473684210526316,4.684210526315789,4.7368421052631575
497,4.411764705882353,4.294117647058823,3.7941176470588234,4.088235294117647,4.294117647058823,4.176470588235294,3.911764705882353,4.205882352941177,4.205882352941177,3.9411764705882355,4.0588235294117645,3.9705882352941178,3.911764705882353,4.117647058823529
499,4.666666666666667,4.666666666666667,4.666666666666667,4.5,4.5,4.5,4.666666666666667,4.5,4.666666666666667,4.5,4.333333333333333,4.5,4.5,4.5
500,4.605263157894737,4.7368421052631575,4.631578947368421,4.7368421052631575,4.578947368421052,4.7105263157894735,4.605263157894737,4.684210526315789,4.631578947368421,4.631578947368421,4.657894736842105,4.684210526315789,4.605263157894737,4.684210526315789
512,4.578947368421052,4.473684210526316,4.684210526315789,4.578947368421052,4.7894736842105265,4.684210526315789,4.526315789473684,4.7368421052631575,4.526315789473684,4.7368421052631575,4.578947368421052,4.421052631578948,4.631578947368421,4.684210526315789
513,4.75,4.75,4.25,4.75,4.625,4.375,4.625,4.625,4.5,4.5,4.75,4.75,4.625,4.625
514,4.0,3.6666666666666665,3.5714285714285716,3.6666666666666665,3.9047619047619047,3.857142857142857,3.6666666666666665,3.857142857142857,3.8095238095238093,3.7142857142857144,3.9047619047619047,3.9523809523809526,3.8095238095238093,3.9047619047619047
521,4.766666666666667,4.766666666666667,4.8,4.633333333333334,4.833333333333333,4.766666666666667,4.7,4.8,4.6,4.766666666666667,4.533333333333333,4.833333333333333,4.733333333333333,4.7
