CODPROF,P-01-1,P-01-2,P-01-3,P-01-4,P-01-5,P-02-1,P-02-2,P-02-3,P-02-4,P-02-5,P-03-1,P-03-2,P-03-3,P-03-4,P-03-5,P-04-1,P-04-2,P-04-3,P-04-4,P-04-5,P-05-1,P-05-2,P-05-3,P-05-4,P-05-5,P-06-1,P-06-2,P-06-3,P-06-4,P-06-5,P-07-1,P-07-2,P-07-3,P-07-4,P-07-5,P-08-1,P-08-2,P-08-3,P-08-4,P-08-5,P-09-1,P-09-2,P-09-3,P-09-4,P-09-5,P-10-1,P-10-2,P-10-3,P-10-4,P-10-5,P-11-1,P-11-2,P-11-3,P-11-4,P-11-5,P-12-1,P-12-2,P-12-3,P-12-4,P-12-5,P-13-1,P-13-2,P-13-3,P-13-4,P-13-5,P-14-1,P-14-2,P-14-3,P-14-4,P-14-5
3,12,3,4,34,81,15,6,8,27,78,16,10,10,28,70,15,10,11,34,64,15,5,9,39,66,11,5,9,37,72,16,7,10,33,68,11,6,11,41,65,15,6,10,36,67,17,9,15,31,62,11,8,6,34,75,15,7,11,37,64,14,5,7,39,69,13,6,7,36,72
4,1,4,7,14,36,,1,3,16,42,1,,3,19,39,,,3,19,40,,,2,16,44,,,2,19,41,,,7,13,42,,,2,23,37,1,,3,18,40,,,3,24,35,,,2,19,41,,,2,19,41,,,4,17,41,,1,3,17,41
5,0,0,1,2,13,,,1,2,13,,,1,2,13,,,1,2,13,,,1,2,13,,,1,2,13,,,1,2,13,,,1,2,13,,,1,2,13,,,1,2,13,,,1,2,13,,,1,2,13,,,1,2,13,,,1,3,12
17,5,6,16,32,59,4,5,13,32,64,4,,16,24,74,3,2,18,25,70,4,2,11,28,73,5,2,14,31,66,4,1,18,27,68,4,1,15,36,62,5,2,18,35,58,5,,15,36,62,5,,17,35,61,4,,13,39,62,4,,21,28,65,2,1,16,33,66
22,5,6,13,36,71,4,2,9,36,80,8,9,18,28,68,6,1,24,31,69,7,3,15,32,74,4,1,12,41,73,5,8,16,31,71,6,7,20,29,69,6,6,16,34,69,10,10,15,29,67,4,4,13,37,73,6,4,17,39,65,7,4,20,33,67,5,6,14,37,69
25,1,0,1,3,48,1,,,6,46,,,,3,50,,,,6,47,,,,3,50,,,,9,44,,,,4,49,,,,9,44,,,2,7,44,,,,7,46,,,,8,45,,,,5,48,,,1,4,48,,,1,6,46
27,0,,1,9,68,1,,1,9,67,,,2,14,62,1,1,3,18,55,,,1,11,66,,,3,12,63,,1,2,22,53,,,2,22,54,1,,3,21,53,,1,,15,62,,6,3,19,50,,,,21,57,,1,,16,61,,2,1,22,53
30,0,,1,8,19,,,1,9,18,1,,2,8,17,,,3,9,16,,,2,9,17,,,1,10,17,1,,2,9,16,1,,2,7,18,,,2,10,16,1,,2,7,18,,,3,7,18,1,,2,9,16,,,1,10,17,,,2,9,17
45,1,,2,23,73,2,,1,27,69,1,1,2,22,73,2,,2,24,71,2,,2,24,71,1,2,1,24,71,1,,1,28,69,1,,2,23,73,1,1,2,25,70,1,,,28,70,1,,7,24,67,1,,1,29,68,2,1,4,28,64,1,,4,27,67
48,0,,2,6,18,,,4,7,15,,,2,7,17,,1,2,6,17,,1,3,8,14,,,1,10,15,,,2,8,16,,,1,9,16,,,2,10,14,,,2,9,15,1,,1,9,15,,,2,9,15,,,2,10,14,1,,1,9,15
57,0,,,7,14,,,,8,13,,,,8,13,,,,8,13,,,,8,13,,,,8,13,,,,7,14,,,,8,13,,,1,6,14,,,,7,14,,,,6,15,,,,6,15,,,,6,15,,,,7,14
60,0,,,5,16,,1,,5,15,,,2,3,16,,1,1,4,15,,1,1,4,15,,,1,4,16,,,,5,16,1,,2,3,15,,,1,5,15,1,,,6,14,,,,6,15,,,,6,15,,,1,5,15,,,,5,16
62,0,,1,8,8,,,,9,8,,,,8,9,,,,9,8,1,,,7,9,,,1,9,7,,,,9,8,,,1,7,9,,,1,8,8,,,2,7,8,,,1,10,6,,,,9,8,,,3,11,3,,,3,9,5
66,0,,2,8,12,,,3,9,10,4,3,3,4,8,2,4,1,6,9,,3,3,7,9,,1,4,8,9,5,2,2,5,8,,3,4,7,8,2,2,3,7,8,5,2,4,3,8,,,3,9,10,5,,4,5,8,2,1,2,8,9,,2,2,9,9
69,0,,,4,8,,,,4,8,1,,2,2,7,,,2,3,7,,1,1,3,7,,1,1,3,7,1,,3,1,7,,1,,4,7,,,2,3,7,,1,1,3,7,,,3,2,7,1,,1,3,7,,,1,4,7,,,1,4,7
72,0,,1,5,12,,,1,5,12,,,1,5,12,,,1,5,12,,,1,5,12,,,1,5,12,,,1,5,12,,,1,6,11,,,1,6,11,,,1,6,11,,,1,6,11,,,1,6,11,,,1,6,11,,,1,6,11
87,0,2,,10,29,,1,1,10,29,,1,1,9,30,,1,1,9,30,,3,,9,29,,1,1,9,30,,1,,10,30,,1,1,10,29,1,2,,10,28,,2,1,9,29,,1,,9,31,,1,1,9,30,,,,11,30,,,2,9,30
137,1,,4,7,22,,2,,9,23,1,1,1,6,25,,2,,7,25,2,1,,5,26,,1,,9,24,,1,1,7,25,,1,1,8,24,,,4,7,23,1,,1,8,24,,,1,8,25,1,,,7,26,1,,,8,25,1,,1,7,25
174,1,,,11,18,,,1,12,17,,,1,11,18,,,,11,19,,,,12,18,,1,,10,19,,,,12,18,,1,,11,18,,,,12,18,,1,,12,17,,,,12,18,,,1,12,17,,1,,10,19,,,,11,19
183,0,,2,5,18,,1,3,6,15,,,4,4,17,,,1,7,17,,1,1,7,16,,,3,7,15,,,3,6,16,,,2,7,16,,,4,6,15,,,1,8,16,,,1,9,15,,,1,8,16,,,2,8,15,,,3,7,15
198,0,,2,,16,,,2,,16,,,2,,16,,,2,,16,,,2,,16,,,2,,16,,,2,,16,,,2,,16,,,2,,16,,,2,,16,,,2,,16,,,2,,16,,,2,,16,,,2,,16
199,0,,,3,5,,,1,2,5,,,1,3,4,,,1,2,5,,2,,2,4,,,1,2,5,,,2,2,4,,,1,2,5,,,1,2,5,,,2,2,4,,,,3,5,,,1,2,5,,,1,2,5,,,1,2,5
200,0,,1,7,31,,,1,8,30,,,1,7,31,,,1,9,29,1,1,3,7,27,,,1,9,29,,,4,8,27,,,1,9,29,,1,1,8,29,,,1,7,31,1,,2,9,27,,,2,7,30,,,1,9,29,,,1,9,29
205,0,,,3,11,,,,4,10,,,,4,10,,,,4,10,,,,4,10,,,,4,10,,,,4,10,,,1,3,10,,,,4,10,,,,3,11,,,1,3,10,,,,4,10,,,1,2,11,,,1,2,11
208,0,1,4,5,19,1,3,4,5,16,,,4,8,17,,1,6,8,14,,,3,9,17,,2,3,10,14,,,2,9,18,,1,3,12,13,,2,4,6,17,,1,4,8,16,,1,5,6,17,,1,3,7,18,2,1,4,7,15,1,1,6,6,15
213,3,1,4,18,28,3,,3,19,29,2,2,4,19,27,2,1,7,18,26,1,,4,20,29,2,,6,19,27,3,2,3,19,27,2,,5,19,28,4,,4,16,30,4,,6,17,27,3,2,4,18,27,2,1,5,16,30,2,,3,18,31,2,2,4,18,28
217,0,,,5,11,,,,6,10,,1,,6,9,,,3,3,10,,,1,4,11,,,,7,9,,,1,6,9,,,1,4,11,,,,6,10,,,1,5,10,,,1,7,8,,,1,5,10,,,2,6,8,,,2,7,7
219,0,,3,10,25,1,,3,9,25,,,2,9,27,,,3,8,27,,,2,9,27,,,1,9,28,1,,2,9,26,,,4,8,26,,1,1,9,27,,1,1,10,26,,,1,11,26,,2,1,8,27,1,,2,9,26,,,1,10,27
222,1,3,,20,53,3,,2,22,50,2,,1,26,48,1,,2,26,48,2,,1,23,51,2,,4,19,52,2,,2,28,45,2,2,2,26,45,2,,4,26,45,2,1,1,25,48,2,1,4,25,45,1,,1,25,50,1,,2,27,47,1,,3,29,44
248,0,4,6,12,11,1,1,1,15,15,,1,4,13,15,1,,3,15,14,,2,2,13,16,,2,1,14,16,1,3,1,15,13,1,1,3,14,14,,2,4,15,12,1,1,2,14,15,,3,1,14,15,1,,2,15,15,,2,2,12,17,,,3,15,15
261,8,2,9,23,38,8,1,10,23,38,12,4,8,20,36,13,4,16,18,29,14,5,9,19,33,8,4,10,25,33,13,4,8,23,32,11,4,11,23,31,13,2,7,25,33,14,4,13,19,30,8,6,11,23,32,14,6,6,22,32,11,4,10,22,33,14,2,5,28,31
265,0,1,3,8,13,,1,2,10,12,,,2,9,14,,,2,10,13,,,5,8,12,,,4,11,10,,,4,7,14,,,5,9,11,,,3,9,13,,,3,10,12,,,3,8,14,,,4,9,12,,,3,9,13,,,2,10,13
274,0,,1,17,45,1,,3,18,41,,1,4,14,44,,1,1,18,43,1,,4,18,40,1,,4,16,42,1,,2,18,42,,1,2,18,42,,1,6,17,39,,2,2,15,44,,,4,18,41,,1,4,18,40,1,,4,21,37,,2,1,21,39
287,3,,1,18,46,3,,1,19,45,3,,2,19,44,3,,4,18,43,3,,1,18,46,4,,1,20,43,3,,4,20,41,3,,1,22,42,4,,1,22,41,3,,3,21,41,3,,4,22,39,3,,1,22,42,3,,2,24,39,3,,4,20,41
291,1,,1,11,57,1,,,12,57,1,,,10,59,1,,2,12,55,1,,2,11,56,1,,,14,55,1,,2,16,51,1,,,17,52,1,,1,14,54,,,1,14,55,1,,2,14,53,1,,1,13,55,1,,1,12,56,1,,,15,54
301,0,,,3,13,,,,4,12,,,,3,13,1,,,3,12,,,,3,13,,,,5,11,,,1,3,12,,,,4,12,,,1,5,10,,,,5,11,,,1,4,11,,,,5,11,,,,3,13,,,1,4,11
357,0,,4,16,22,1,,3,15,23,,1,5,12,24,,1,8,11,22,,1,5,13,23,,1,7,11,23,,2,4,13,23,1,,7,11,23,,,7,13,22,,2,7,10,23,3,,7,11,21,1,1,7,10,23,,,6,13,23,,1,7,11,23
359,16,9,14,12,35,12,12,5,20,37,11,8,9,15,43,10,4,7,19,46,9,2,4,18,53,9,3,8,22,44,10,3,7,24,42,11,5,7,21,42,12,1,6,22,45,13,3,3,30,37,10,1,3,23,49,10,2,8,25,41,10,5,5,23,43,9,3,8,23,43
381,0,,,4,12,,,,3,13,,,,4,12,,,,3,13,,,,3,13,,,,3,13,1,,,3,12,,,,4,12,,,,5,11,,,,5,11,,,2,5,9,,,,4,12,,,,5,11,,,,5,11
393,0,1,5,11,21,,5,3,12,18,,2,6,14,16,,4,8,10,16,,2,10,9,17,,3,8,10,17,1,3,5,11,18,,2,9,13,14,1,1,7,14,15,,5,4,12,17,,1,6,14,17,,4,6,13,15,,1,7,16,14,1,,6,14,17
420,0,,,5,6,,,,5,6,,,,5,6,,,,5,6,,,,5,6,,,,5,6,,,,5,6,,,,5,6,,,1,4,6,,,,5,6,,,1,4,6,,,,5,6,,,,5,6,,,,5,6
421,0,,1,5,11,,,,5,12,,,,4,13,,,,5,12,,,,4,13,,,,4,13,,,,4,13,,,,3,14,,,,4,13,,,,4,13,,,,5,12,,,,5,12,,,1,4,12,,,1,3,13
463,0,,,10,49,,,,8,51,,,1,8,50,,,,8,51,,,,8,51,,,1,7,51,,,1,12,46,,,,10,49,,,1,9,49,,,1,8,50,,,1,10,48,,,1,7,51,,,1,6,52,,,1,12,46
464,0,,1,1,3,,,1,1,3,,,1,,4,,,1,,4,,,1,,4,,,1,,4,,,1,,4,,,1,,4,,,1,,4,,,1,1,3,,,1,,4,,,1,,4,,,1,,4,,,1,,4
477,5,9,17,36,62,3,9,17,46,54,9,16,16,38,50,5,9,25,39,51,6,7,24,37,55,4,6,19,44,56,5,10,20,43,51,4,10,21,46,48,7,7,23,41,51,10,10,19,41,49,3,6,17,49,54,8,12,18,46,45,5,9,21,43,51,3,6,22,45,53
482,0,,2,2,14,,,,4,14,,,,5,13,,,,6,12,,,,4,14,1,,,4,13,,,,5,13,1,,,4,13,1,,,3,14,,,1,5,12,,,1,4,13,,,1,3,14,1,,1,2,14,1,,2,2,13
487,0,,,2,11,,,,3,10,,,,4,9,,,1,4,8,,,,5,8,,,,5,8,,,1,4,8,,,,4,9,,,,4,9,,,,4,9,,,,4,9,,,,4,9,,,,4,9,,,,4,9
491,0,1,2,3,15,,3,2,3,13,3,,6,1,11,,,6,2,13,,,9,1,11,,1,6,1,13,,,7,1,13,1,,6,1,13,,,8,,13,1,1,7,1,11,,1,6,1,13,,,8,1,12,,,7,1,13,,,7,1,13
495,5,1,6,25,30,6,4,10,21,26,15,3,13,11,25,9,6,12,16,24,10,3,15,17,22,10,7,9,17,24,12,7,10,14,24,9,8,11,15,24,13,3,12,16,23,13,6,12,13,23,10,2,13,19,23,11,3,14,15,24,8,4,15,16,24,10,3,15,14,25
496,0,,,3,16,,,,3,16,,1,1,4,13,,,3,2,14,,,4,2,13,,,,4,15,,1,2,3,13,,1,3,2,13,,,1,4,14,,1,2,2,14,,1,1,3,14,,2,1,2,14,,1,1,1,16,,,1,3,15
497,0,1,3,11,19,1,,4,12,17,3,2,4,15,10,1,1,5,14,13,1,,4,12,17,1,1,4,13,15,3,2,4,11,14,2,,4,11,17,2,,3,13,16,3,2,3,12,14,1,2,4,14,13,3,,6,11,14,3,,7,11,13,1,1,6,11,15
499,0,,,2,4,,,,2,4,,,,2,4,,,,3,3,,,,3,3,,,,3,3,,,,2,4,,,,3,3,,,,2,4,,,,3,3,,,,4,2,,,,3,3,,,,3,3,,,,3,3
500,0,,4,7,27,,,1,8,29,,,4,6,28,,,1,8,29,,1,2,9,26,,,1,9,28,,,3,9,26,,,1,10,27,,,3,8,27,,,2,10,26,,,2,9,27,,,1,10,27,,,3,9,26,,,3,6,29
512,0,,2,4,13,1,,1,4,13,,,2,2,15,,,3,2,14,,,1,2,16,,,1,4,14,,,2,5,12,,,,5,14,,1,1,4,13,,,,5,14,,1,1,3,14,,2,1,3,13,,,2,3,14,,,1,4,14
513,0,,,2,6,,,,2,6,,,2,2,4,,,,2,6,,,,3,5,,,1,3,4,,,,3,5,,,,3,5,,,1,2,5,,,1,2,5,,,,2,6,,,,2,6,,,,3,5,,,,3,5
514,1,2,3,5,10,3,,6,4,8,2,4,3,4,8,3,2,2,6,8,1,1,5,6,8,2,,5,6,8,3,1,4,5,8,2,,5,6,8,2,1,4,6,8,3,,5,5,8,2,1,3,6,9,2,,4,6,9,2,1,4,6,8,2,1,3,6,9
521,0,,,7,23,,,1,5,24,,,,6,24,,,3,5,22,,,1,3,26,,,2,3,25,,,2,5,23,,,,6,24,,,2,8,20,,,1,5,24,,2,,8,20,,,,5,25,,,1,6,23,,1,,6,23